"PRODUCT CODE","PRODUCT NAME","FRENCH PRODUCT NAME","language","ACCEPTANCE DATE","COMPANY CODE","SUB_CAT"
C343-283,"74921","74921",E,"2014-12-19 00:00:00",C343,"9"
C343-284,"74921","74921",E,"2014-12-19 00:00:00",C343,"10"
C343-285,"74921","74921",E,"2014-12-19 00:00:00",C343,"11"
C343-286,"74923","74923",E,"2014-12-19 00:00:00",C343,"9"
C343-287,"74923","74923",E,"2014-12-19 00:00:00",C343,"10"
C343-288,"74923","74923",E,"2014-12-19 00:00:00",C343,"11"
C343-289,"74924","74924",E,"2014-12-19 00:00:00",C343,"9"
C343-290,"74924","74924",E,"2014-12-19 00:00:00",C343,"10"
C343-291,"74924","74924",E,"2014-12-19 00:00:00",C343,"11"
C343-292,"01101","01101",E,"2014-12-19 00:00:00",C343,"9"
C343-293,"01101","01101",E,"2014-12-19 00:00:00",C343,"10"
C343-294,"01101","01101",E,"2014-12-19 00:00:00",C343,"11"
C343-295,"01103","01103",E,"2014-12-19 00:00:00",C343,"9"
C343-296,"01103","01103",E,"2014-12-19 00:00:00",C343,"10"
C343-297,"01103","01103",E,"2014-12-19 00:00:00",C343,"11"
C343-298,"01104","01104",E,"2014-12-19 00:00:00",C343,"9"
C343-299,"01104","01104",E,"2014-12-19 00:00:00",C343,"10"
C343-300,"01104","01104",E,"2014-12-19 00:00:00",C343,"11"
C343-301,"03111","03111",E,"2014-10-28 00:00:00",C343,"9"
C343-302,"03111","03111",E,"2014-10-28 00:00:00",C343,"10"
C343-303,"03111","03111",E,"2014-10-28 00:00:00",C343,"11"
C343-304,"03113","03113",E,"2014-10-28 00:00:00",C343,"9"
C343-305,"03113","03113",E,"2014-10-28 00:00:00",C343,"10"
C343-306,"03113","03113",E,"2014-10-28 00:00:00",C343,"11"
C343-307,"03114","03114",E,"2014-10-28 00:00:00",C343,"9"
C343-308,"03114","03114",E,"2014-10-28 00:00:00",C343,"10"
C343-309,"03114","03114",E,"2014-10-28 00:00:00",C343,"11"
C343-310,"03451","03451",E,"2014-10-28 00:00:00",C343,"9"
C343-311,"03451","03451",E,"2014-10-28 00:00:00",C343,"10"
C343-312,"03451","03451",E,"2014-10-28 00:00:00",C343,"11"
C343-313,"03453","03453",E,"2014-10-28 00:00:00",C343,"9"
C343-314,"03453","03453",E,"2014-10-28 00:00:00",C343,"10"
C343-315,"03453","03453",E,"2014-10-28 00:00:00",C343,"11"
C343-316,"03454","03454",E,"2014-10-28 00:00:00",C343,"9"
C343-317,"03454","03454",E,"2014-10-28 00:00:00",C343,"10"
C343-318,"03454","03454",E,"2014-10-28 00:00:00",C343,"11"
C413-002,"Sparkle, Liquid Fruit and Vegetable Wash               ","Sparkle, Liquid Fruit and Vegetable Wash               ",E,"2014-12-05 00:00:00",C413,"5"
C528-001,Colortech 10868-18 Slip-Antiblock,Colortech 10868-18 Slip-Antiblock,E,"2014-11-21 00:00:00",C528,"81"
C528-002,Colortech 18742-18 Chocolate Milk Brown Concentrate,Colortech 18742-18 Chocolate Milk Brown Concentrate,E,"2014-11-21 00:00:00",C528,"81"
